paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
AUTAY2019,PA66,0,0,0,0,100,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,line_graph,medium,Sliding parallel (0 deg) to fiber direction; 100Cr6 steel ball counterface,pass,,
AUTAY2019,PA66,0,10,0,0,90,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.37,,,,,10.1177/0967391119853956,line_graph,medium,Sliding parallel (0 deg) to fiber direction; 100Cr6 steel ball counterface,pass,,
AUTAY2019,PA66,0,20,0,0,80,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.27,,,,,10.1177/0967391119853956,line_graph,medium,Sliding parallel (0 deg) to fiber direction; 100Cr6 steel ball counterface,pass,,
AUTAY2019,PA66,0,30,0,0,70,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.24,,,,,10.1177/0967391119853956,line_graph,medium,Sliding parallel (0 deg) to fiber direction; 100Cr6 steel ball counterface,pass,,
AUTAY2019,PA66,0,0,0,0,100,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,line_graph,medium,Sliding perpendicular (90 deg) to fiber direction; 100Cr6 steel ball counterface,pass,,
AUTAY2019,PA66,0,10,0,0,90,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.44,,,,,10.1177/0967391119853956,line_graph,medium,Sliding perpendicular (90 deg) to fiber direction; 100Cr6 steel ball counterface,pass,,
AUTAY2019,PA66,0,20,0,0,80,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.34,,,,,10.1177/0967391119853956,line_graph,medium,Sliding perpendicular (90 deg) to fiber direction; 100Cr6 steel ball counterface,pass,,
AUTAY2019,PA66,0,30,0,0,70,,,22.4,0.01,306,,steel,BoP,dry,40,,injection,0.23,,,,,10.1177/0967391119853956,line_graph,medium,Sliding perpendicular (90 deg) to fiber direction; 100Cr6 steel ball counterface,pass,,
AUTAY2019,PA66,0,0,0,0,100,,,25.6,0.056,40.32,,other,BoP,dry,40,,injection,0.65,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 2.67 % mass loss,pass,,
AUTAY2019,PA66,0,10,0,0,90,,,25.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 2.67 % mass loss,pass,,
AUTAY2019,PA66,0,20,0,0,80,,,25.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 3.67 % mass loss,pass,,
AUTAY2019,PA66,0,30,0,0,70,,,25.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 6.89 % mass loss,pass,,
AUTAY2019,PA66,0,0,0,0,100,,,55.6,0.056,40.32,,other,BoP,dry,40,,injection,0.65,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 7.78 % mass loss,pass,,
AUTAY2019,PA66,0,10,0,0,90,,,55.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 15.44 % mass loss,pass,,
AUTAY2019,PA66,0,20,0,0,80,,,55.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 32.67 % mass loss,pass,,
AUTAY2019,PA66,0,30,0,0,70,,,55.6,0.056,40.32,,other,BoP,dry,40,,injection,0.55,,,,,10.1177/0967391119853956,mixed,high,SiC abrasive paper grade 60 counterface; wear rate reported as 80.33 % mass loss,pass,,
