paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
PALABIYIK2002,other,0,0,0,0,0,HDPE,100,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.31,0.00000433,,,,10.1016/S0043-1648(02)00144-8,table,high,Pure HDPE baseline; pin-on-disc vs AISI O2 tool steel disc (HRC 58); 19.6 N (0.64 MPa); 1.0 m/s; 28800 m; Table 2,pass,,material_base='other' is outside the preferred encoding
PALABIYIK2002,PA6,100,0,0,0,0,,,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.82,0.00000280,,,,10.1016/S0043-1648(02)00144-8,table,high,Pure PA6 baseline; pin-on-disc vs AISI O2 tool steel disc (HRC 58); 19.6 N (0.64 MPa); 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,80,0,0,0,0,HDPE; MAgPP,20; 5,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.25,0.00000022,,,,10.1016/S0043-1648(02)00144-8,table,high,80 wt% PA6 - 20 wt% HDPE polyblend with 5 wt% MAgPP; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,76,0,0,0,0,HDPE; MAgPP; PTFE,19; 4.75; 5,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.22,0.00000018,,,,10.1016/S0043-1648(02)00144-8,table,high,80/20 PA6/HDPE polyblend + 5 wt% PTFE; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,72,0,0,0,0,HDPE; MAgPP; PTFE,18; 4.5; 10,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.17,0.00000018,,,,10.1016/S0043-1648(02)00144-8,table,high,80/20 PA6/HDPE polyblend + 10 wt% PTFE; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,22.3,0,0,0,0,HDPE; MAgPP; PTFE; CuO,5.58; 1.4; 3.1; 69,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.29,0.00000020,,,,10.1016/S0043-1648(02)00144-8,table,high,80/20 polyblend + 10% PTFE + 30 vol% (69 wt%) CuO; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,76,5,0,0,0,HDPE; MAgPP,19; 4.75,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.24,0.00000026,,,,10.1016/S0043-1648(02)00144-8,table,high,80/20 PA6/HDPE polyblend + 5 wt% glass fiber; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,72,10,0,0,0,HDPE; MAgPP,18; 4.5,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.24,0.00000025,,,,10.1016/S0043-1648(02)00144-8,table,high,80/20 PA6/HDPE polyblend + 10 wt% glass fiber; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,68,15,0,0,0,HDPE; MAgPP,17; 4.25,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.27,0.00000035,,,,10.1016/S0043-1648(02)00144-8,table,high,80/20 PA6/HDPE polyblend + 15 wt% glass fiber; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,60,0,0,0,0,HDPE; MAgPP,40; 5,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.19,0.00000018,,,,10.1016/S0043-1648(02)00144-8,table,high,60 wt% PA6 - 40 wt% HDPE polyblend with 5 wt% MAgPP; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,57,0,0,0,0,HDPE; MAgPP; PTFE,38; 4.75; 5,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.18,0.00000013,,,,10.1016/S0043-1648(02)00144-8,table,high,60/40 PA6/HDPE polyblend + 5 wt% PTFE; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,54,0,0,0,0,HDPE; MAgPP; PTFE,36; 4.5; 10,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.17,0.00000013,,,,10.1016/S0043-1648(02)00144-8,table,high,60/40 PA6/HDPE polyblend + 10 wt% PTFE; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
PALABIYIK2002,PA6,16.74,0,0,0,0,HDPE; MAgPP; PTFE; CuO,11.16; 1.4; 3.1; 69,19.6,1.0,28800,,steel,PoD,dry,37.5,23,injection,0.22,0.00000013,,,,10.1016/S0043-1648(02)00144-8,table,high,60/40 polyblend + 10% PTFE + 30 vol% (69 wt%) CuO; pin-on-disc vs AISI O2 disc; 19.6 N; 1.0 m/s; 28800 m; Table 2,pass,,
