paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
SATHEESKUMAR2016,PA6,100,0,0,0,0,,,5,5.23,1000,,steel,PoD,dry,,23,injection,0.30,0.0092,,,,10.1007/s12034-016-1296-6,table,high,Pure PA6; DUCOM pin-on-disc vs EN31 steel disc; 5 N; 5.23 m/s; 1000 m; Table 3,pass,,
SATHEESKUMAR2016,PA6,100,0,0,0,0,,,5,7.85,1000,,steel,PoD,dry,,23,injection,0.33,0.0092,,,,10.1007/s12034-016-1296-6,table,high,Pure PA6; DUCOM pin-on-disc vs EN31 steel disc; 5 N; 7.85 m/s; 1000 m; Table 3,pass,,
SATHEESKUMAR2016,PA6,100,0,0,0,0,,,5,10.0,1000,,steel,PoD,dry,,23,injection,0.37,0.0092,,,,10.1007/s12034-016-1296-6,table,high,Pure PA6; DUCOM pin-on-disc vs EN31 steel disc; 5 N; 10.0 m/s; 1000 m; Table 3,pass,,
SATHEESKUMAR2016,PA6,100,0,0,0,0,,,10,5.23,1000,,steel,PoD,dry,,23,injection,0.38,0.0084,,,,10.1007/s12034-016-1296-6,table,high,Pure PA6; DUCOM pin-on-disc vs EN31 steel disc; 10 N; 5.23 m/s; 1000 m; Table 3,pass,,
SATHEESKUMAR2016,PA6,100,0,0,0,0,,,20,5.23,1000,,steel,PoD,dry,,23,injection,0.38,0.0076,,,,10.1007/s12034-016-1296-6,table,high,Pure PA6; DUCOM pin-on-disc vs EN31 steel disc; 20 N; 5.23 m/s; 1000 m; Table 3,pass,,
SATHEESKUMAR2016,PA6,100,0,0,0,0,,,30,5.23,1000,,steel,PoD,dry,,23,injection,0.55,0.0068,,,,10.1007/s12034-016-1296-6,table,high,Pure PA6; DUCOM pin-on-disc vs EN31 steel disc; 30 N; 5.23 m/s; 1000 m; Table 3,pass,,
SATHEESKUMAR2016,PA6,95,0,0,0,0,Al2O3,5,5,5.23,1000,,steel,PoD,dry,,23,injection,0.29,0.0088,,,,10.1007/s12034-016-1296-6,table,high,PA6 + 5 wt% Al2O3; DUCOM pin-on-disc vs EN31 steel; 5 N; 5.23 m/s; 1000 m; Table 3,pass,,
SATHEESKUMAR2016,PA6,95,0,0,0,0,Al2O3,5,5,7.85,1000,,steel,PoD,dry,,23,injection,0.31,0.0088,,,,10.1007/s12034-016-1296-6,table,high,PA6 + 5 wt% Al2O3; DUCOM pin-on-disc vs EN31 steel; 5 N; 7.85 m/s; 1000 m; Table 3,pass,,
SATHEESKUMAR2016,PA6,95,0,0,0,0,Al2O3,5,5,10.0,1000,,steel,PoD,dry,,23,injection,0.35,0.0088,,,,10.1007/s12034-016-1296-6,table,high,PA6 + 5 wt% Al2O3; DUCOM pin-on-disc vs EN31 steel; 5 N; 10.0 m/s; 1000 m; Table 3,pass,,
SATHEESKUMAR2016,PA6,95,0,0,0,0,Al2O3,5,10,5.23,1000,,steel,PoD,dry,,23,injection,0.37,0.0080,,,,10.1007/s12034-016-1296-6,table,high,PA6 + 5 wt% Al2O3; DUCOM pin-on-disc vs EN31 steel; 10 N; 5.23 m/s; 1000 m; Table 3,pass,,
SATHEESKUMAR2016,PA6,95,0,0,0,0,Al2O3,5,20,5.23,1000,,steel,PoD,dry,,23,injection,0.37,0.0071,,,,10.1007/s12034-016-1296-6,table,high,PA6 + 5 wt% Al2O3; DUCOM pin-on-disc vs EN31 steel; 20 N; 5.23 m/s; 1000 m; Table 3,pass,,
