paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes,validation_status,validation_notes,validation_warnings
VIKRAM2024,PA6,100,0,0,0,0,,,10,1.05,2835,,steel,PoD,dry,,25,injection,0.50,0.000014,,,,10.1002/app.56119,line_graph,high,Pure PA6; DUCOM PoD vs EN31 steel disc; 10 N; 200 rpm (1.05 m/s); 45 min; Figs. 10 and 14,pass,,
VIKRAM2024,PA6,100,0,0,0,0,,,10,2.09,5643,,steel,PoD,dry,,25,injection,0.58,0.000015,,,,10.1002/app.56119,line_graph,high,Pure PA6; DUCOM PoD vs EN31 steel disc; 10 N; 400 rpm (2.09 m/s); 45 min; Figs. 10 and 14,pass,,
VIKRAM2024,PA6,100,0,0,0,0,,,10,4.19,11313,,steel,PoD,dry,,25,injection,0.65,0.000016,,,,10.1002/app.56119,line_graph,high,Pure PA6; DUCOM PoD vs EN31 steel disc; 10 N; 800 rpm (4.19 m/s); 45 min; Figs. 10 and 14,pass,,
VIKRAM2024,PA6,100,0,0,0,0,,,20,1.05,2835,,steel,PoD,dry,,25,injection,0.55,0.000015,,,,10.1002/app.56119,line_graph,high,Pure PA6; DUCOM PoD vs EN31 steel disc; 20 N; 200 rpm (1.05 m/s); 45 min; Figs. 10 and 14,pass,,
VIKRAM2024,PA6,100,0,0,0,0,,,20,2.09,5643,,steel,PoD,dry,,25,injection,0.62,0.000016,,,,10.1002/app.56119,line_graph,high,Pure PA6; DUCOM PoD vs EN31 steel disc; 20 N; 400 rpm (2.09 m/s); 45 min; Figs. 10 and 14,pass,,
VIKRAM2024,PA6,100,0,0,0,0,,,20,4.19,11313,,steel,PoD,dry,,25,injection,0.70,0.000017,,,,10.1002/app.56119,line_graph,high,Pure PA6; DUCOM PoD vs EN31 steel disc; 20 N; 800 rpm (4.19 m/s); 45 min; Figs. 10 and 14,pass,,
VIKRAM2024,PA6,100,0,0,0,0,,,30,1.05,2835,,steel,PoD,dry,,25,injection,0.52,0.000014,,,,10.1002/app.56119,line_graph,high,Pure PA6; DUCOM PoD vs EN31 steel disc; 30 N; 200 rpm (1.05 m/s); 45 min; Figs. 10 and 14,pass,,
VIKRAM2024,PA6,100,0,0,0,0,,,30,2.09,5643,,steel,PoD,dry,,25,injection,0.59,0.000015,,,,10.1002/app.56119,line_graph,high,Pure PA6; DUCOM PoD vs EN31 steel disc; 30 N; 400 rpm (2.09 m/s); 45 min; Figs. 10 and 14,pass,,
VIKRAM2024,PA6,100,0,0,0,0,,,30,4.19,11313,,steel,PoD,dry,,25,injection,0.68,0.000016,,,,10.1002/app.56119,line_graph,high,Pure PA6; DUCOM PoD vs EN31 steel disc; 30 N; 800 rpm (4.19 m/s); 45 min; Figs. 10 and 14,pass,,
VIKRAM2024,PA6,95,5,0,0,0,,,10,1.05,2835,,steel,PoD,dry,,25,injection,0.25,0.0000018,,,,10.1002/app.56119,line_graph,high,PA6 + 5 mass% GF; DUCOM PoD vs EN31 steel; 10 N; 200 rpm (1.05 m/s); 45 min; Figs. 11 and 14,pass,,
VIKRAM2024,PA6,95,5,0,0,0,,,10,2.09,5643,,steel,PoD,dry,,25,injection,0.28,0.0000020,,,,10.1002/app.56119,line_graph,high,PA6 + 5 mass% GF; DUCOM PoD vs EN31 steel; 10 N; 400 rpm (2.09 m/s); 45 min; Figs. 11 and 14,pass,,
