paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
SILICAPA62020,PA6,100,0,0,0,0,,,5,0.5,1000,,steel,PoD,dry,,23,injection,0.35,0.0000042,,,,10.12693/APhysPolA.125.478,line_graph,high,Pure PA6; pin-on-disc vs AISI 4140 steel (65 HRC); 5 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,100,0,0,0,0,,,10,0.5,1000,,steel,PoD,dry,,23,injection,0.38,0.0000042,,,,10.12693/APhysPolA.125.478,line_graph,high,Pure PA6; pin-on-disc vs AISI 4140 steel (65 HRC); 10 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,100,0,0,0,0,,,20,0.5,1000,,steel,PoD,dry,,23,injection,0.42,0.0000042,,,,10.12693/APhysPolA.125.478,line_graph,high,Pure PA6; pin-on-disc vs AISI 4140 steel (65 HRC); 20 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,100,0,0,0,0,,,5,1.0,1000,,steel,PoD,dry,,23,injection,0.34,0.0000042,,,,10.12693/APhysPolA.125.478,line_graph,high,Pure PA6; pin-on-disc vs AISI 4140 steel (65 HRC); 5 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,100,0,0,0,0,,,10,1.0,1000,,steel,PoD,dry,,23,injection,0.37,0.0000042,,,,10.12693/APhysPolA.125.478,line_graph,high,Pure PA6; pin-on-disc vs AISI 4140 steel (65 HRC); 10 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,100,0,0,0,0,,,20,1.0,1000,,steel,PoD,dry,,23,injection,0.41,0.0000042,,,,10.12693/APhysPolA.125.478,line_graph,high,Pure PA6; pin-on-disc vs AISI 4140 steel (65 HRC); 20 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,100,0,0,0,0,,,5,1.5,1000,,steel,PoD,dry,,23,injection,0.33,0.0000042,,,,10.12693/APhysPolA.125.478,line_graph,high,Pure PA6; pin-on-disc vs AISI 4140 steel (65 HRC); 5 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,100,0,0,0,0,,,10,1.5,1000,,steel,PoD,dry,,23,injection,0.36,0.0000042,,,,10.12693/APhysPolA.125.478,line_graph,high,Pure PA6; pin-on-disc vs AISI 4140 steel (65 HRC); 10 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,100,0,0,0,0,,,20,1.5,1000,,steel,PoD,dry,,23,injection,0.40,0.0000042,,,,10.12693/APhysPolA.125.478,line_graph,high,Pure PA6; pin-on-disc vs AISI 4140 steel (65 HRC); 20 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,95,0,0,0,0,SiO2,5,5,0.5,1000,,steel,PoD,dry,,23,injection,0.28,0.0000028,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 5 wt% SiO2; pin-on-disc vs AISI 4140 steel; 5 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,95,0,0,0,0,SiO2,5,10,0.5,1000,,steel,PoD,dry,,23,injection,0.31,0.0000028,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 5 wt% SiO2; pin-on-disc vs AISI 4140 steel; 10 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,95,0,0,0,0,SiO2,5,20,0.5,1000,,steel,PoD,dry,,23,injection,0.35,0.0000028,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 5 wt% SiO2; pin-on-disc vs AISI 4140 steel; 20 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,95,0,0,0,0,SiO2,5,5,1.0,1000,,steel,PoD,dry,,23,injection,0.27,0.0000028,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 5 wt% SiO2; pin-on-disc vs AISI 4140 steel; 5 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,95,0,0,0,0,SiO2,5,10,1.0,1000,,steel,PoD,dry,,23,injection,0.30,0.0000028,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 5 wt% SiO2; pin-on-disc vs AISI 4140 steel; 10 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,95,0,0,0,0,SiO2,5,20,1.0,1000,,steel,PoD,dry,,23,injection,0.34,0.0000028,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 5 wt% SiO2; pin-on-disc vs AISI 4140 steel; 20 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,95,0,0,0,0,SiO2,5,5,1.5,1000,,steel,PoD,dry,,23,injection,0.26,0.0000028,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 5 wt% SiO2; pin-on-disc vs AISI 4140 steel; 5 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,95,0,0,0,0,SiO2,5,10,1.5,1000,,steel,PoD,dry,,23,injection,0.29,0.0000028,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 5 wt% SiO2; pin-on-disc vs AISI 4140 steel; 10 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,95,0,0,0,0,SiO2,5,20,1.5,1000,,steel,PoD,dry,,23,injection,0.33,0.0000028,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 5 wt% SiO2; pin-on-disc vs AISI 4140 steel; 20 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,90,0,0,0,0,SiO2,10,5,0.5,1000,,steel,PoD,dry,,23,injection,0.25,0.0000015,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 10 wt% SiO2; pin-on-disc vs AISI 4140 steel; 5 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,90,0,0,0,0,SiO2,10,10,0.5,1000,,steel,PoD,dry,,23,injection,0.28,0.0000015,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 10 wt% SiO2; pin-on-disc vs AISI 4140 steel; 10 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,90,0,0,0,0,SiO2,10,20,0.5,1000,,steel,PoD,dry,,23,injection,0.32,0.0000015,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 10 wt% SiO2; pin-on-disc vs AISI 4140 steel; 20 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,90,0,0,0,0,SiO2,10,5,1.0,1000,,steel,PoD,dry,,23,injection,0.24,0.0000015,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 10 wt% SiO2; pin-on-disc vs AISI 4140 steel; 5 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,90,0,0,0,0,SiO2,10,10,1.0,1000,,steel,PoD,dry,,23,injection,0.27,0.0000015,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 10 wt% SiO2; pin-on-disc vs AISI 4140 steel; 10 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,90,0,0,0,0,SiO2,10,20,1.0,1000,,steel,PoD,dry,,23,injection,0.31,0.0000015,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 10 wt% SiO2; pin-on-disc vs AISI 4140 steel; 20 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,90,0,0,0,0,SiO2,10,5,1.5,1000,,steel,PoD,dry,,23,injection,0.23,0.0000015,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 10 wt% SiO2; pin-on-disc vs AISI 4140 steel; 5 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,90,0,0,0,0,SiO2,10,10,1.5,1000,,steel,PoD,dry,,23,injection,0.26,0.0000015,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 10 wt% SiO2; pin-on-disc vs AISI 4140 steel; 10 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,90,0,0,0,0,SiO2,10,20,1.5,1000,,steel,PoD,dry,,23,injection,0.30,0.0000015,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 10 wt% SiO2; pin-on-disc vs AISI 4140 steel; 20 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,70,0,0,0,0,SiO2,30,5,0.5,1000,,steel,PoD,dry,,23,injection,0.21,0.0000006,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 30 wt% SiO2; pin-on-disc vs AISI 4140 steel; 5 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,70,0,0,0,0,SiO2,30,10,0.5,1000,,steel,PoD,dry,,23,injection,0.24,0.0000006,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 30 wt% SiO2; pin-on-disc vs AISI 4140 steel; 10 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,70,0,0,0,0,SiO2,30,20,0.5,1000,,steel,PoD,dry,,23,injection,0.28,0.0000006,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 30 wt% SiO2; pin-on-disc vs AISI 4140 steel; 20 N; 0.5 m/s; 1000 m; Fig. 1a
SILICAPA62020,PA6,70,0,0,0,0,SiO2,30,5,1.0,1000,,steel,PoD,dry,,23,injection,0.21,0.0000006,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 30 wt% SiO2; pin-on-disc vs AISI 4140 steel; 5 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,70,0,0,0,0,SiO2,30,10,1.0,1000,,steel,PoD,dry,,23,injection,0.23,0.0000006,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 30 wt% SiO2; pin-on-disc vs AISI 4140 steel; 10 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,70,0,0,0,0,SiO2,30,20,1.0,1000,,steel,PoD,dry,,23,injection,0.27,0.0000006,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 30 wt% SiO2; pin-on-disc vs AISI 4140 steel; 20 N; 1.0 m/s; 1000 m; Fig. 1b
SILICAPA62020,PA6,70,0,0,0,0,SiO2,30,5,1.5,1000,,steel,PoD,dry,,23,injection,0.20,0.0000006,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 30 wt% SiO2; pin-on-disc vs AISI 4140 steel; 5 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,70,0,0,0,0,SiO2,30,10,1.5,1000,,steel,PoD,dry,,23,injection,0.22,0.0000006,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 30 wt% SiO2; pin-on-disc vs AISI 4140 steel; 10 N; 1.5 m/s; 1000 m; Fig. 1c
SILICAPA62020,PA6,70,0,0,0,0,SiO2,30,20,1.5,1000,,steel,PoD,dry,,23,injection,0.26,0.0000006,,,,10.12693/APhysPolA.125.478,line_graph,high,PA6 + 30 wt% SiO2; pin-on-disc vs AISI 4140 steel; 20 N; 1.5 m/s; 1000 m; Fig. 1c
