paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
NEIS2017a,PA6,100,0,0,0,0,,,4,0.4,25000,,steel,PoD,dry,40,24,injection,0.43,1.80e-5,,,33,10.1016/j.wear.2017.01.118,line_graph,high,PA6 pin sliding against stainless steel disc; 4 N (0.55 MPa); 0.4 m/s; 25 km; Fig. 3
NEIS2017a,PA6,100,0,0,0,0,,,4,0.7,25000,,steel,PoD,dry,40,24,injection,0.43,1.60e-5,,,37,10.1016/j.wear.2017.01.118,line_graph,high,PA6 pin sliding against stainless steel disc; 4 N (0.55 MPa); 0.7 m/s; 25 km; Fig. 3
NEIS2017a,PA6,100,0,0,0,0,,,4,1.0,25000,,steel,PoD,dry,40,24,injection,0.42,1.50e-5,,,41,10.1016/j.wear.2017.01.118,line_graph,high,PA6 pin sliding against stainless steel disc; 4 N (0.55 MPa); 1.0 m/s; 25 km; Fig. 3
NEIS2017a,PA6,100,0,0,0,0,,,6,0.4,25000,,steel,PoD,dry,40,24,injection,0.44,1.10e-5,,,34,10.1016/j.wear.2017.01.118,line_graph,high,PA6 pin sliding against stainless steel disc; 6 N (0.85 MPa); 0.4 m/s; 25 km; Fig. 3
NEIS2017a,PA6,100,0,0,0,0,,,6,0.7,25000,,steel,PoD,dry,40,24,injection,0.45,1.30e-5,,,40,10.1016/j.wear.2017.01.118,line_graph,high,PA6 pin sliding against stainless steel disc; 6 N (0.85 MPa); 0.7 m/s; 25 km; Fig. 3
NEIS2017a,PA6,100,0,0,0,0,,,6,1.0,25000,,steel,PoD,dry,40,24,injection,0.43,1.30e-5,,,45,10.1016/j.wear.2017.01.118,line_graph,high,PA6 pin sliding against stainless steel disc; 6 N (0.85 MPa); 1.0 m/s; 25 km; Fig. 3
NEIS2017a,PA6,100,0,0,0,0,,,8,0.4,25000,,steel,PoD,dry,40,24,injection,0.43,1.10e-5,,,37,10.1016/j.wear.2017.01.118,line_graph,high,PA6 pin sliding against stainless steel disc; 8 N (1.10 MPa); 0.4 m/s; 25 km; Fig. 3
NEIS2017a,PA6,100,0,0,0,0,,,8,0.7,25000,,steel,PoD,dry,40,24,injection,0.42,1.70e-5,,,41,10.1016/j.wear.2017.01.118,line_graph,high,PA6 pin sliding against stainless steel disc; 8 N (1.10 MPa); 0.7 m/s; 25 km; Fig. 3
NEIS2017a,PA6,100,0,0,0,0,,,8,1.0,25000,,steel,PoD,dry,40,24,injection,0.44,2.00e-5,,,47,10.1016/j.wear.2017.01.118,line_graph,high,PA6 pin sliding against stainless steel disc; 8 N (1.10 MPa); 1.0 m/s; 25 km; Fig. 3
NEIS2017a,PA6,100,0,0,0,0,,,4,0.4,25000,,steel,PoD,dry,40,24,injection,0.98,5.55e-6,,,67,10.1016/j.wear.2017.01.118,line_graph,high,Stainless steel pin sliding against PA6 disc; 4 N (0.55 MPa); 0.4 m/s; 25 km; Fig. 7
NEIS2017a,PA6,100,0,0,0,0,,,4,0.7,25000,,steel,PoD,dry,40,24,injection,1.00,6.80e-6,,,94,10.1016/j.wear.2017.01.118,line_graph,high,Stainless steel pin sliding against PA6 disc; 4 N (0.55 MPa); 0.7 m/s; 25 km; Fig. 7
NEIS2017a,PA6,100,0,0,0,0,,,4,1.0,25000,,steel,PoD,dry,40,24,injection,0.85,1.18e-5,,,117,10.1016/j.wear.2017.01.118,line_graph,high,Stainless steel pin sliding against PA6 disc; 4 N (0.55 MPa); 1.0 m/s; 25 km; Fig. 7
NEIS2017a,PA6,100,0,0,0,0,,,6,0.4,25000,,steel,PoD,dry,40,24,injection,0.96,9.33e-6,,,87,10.1016/j.wear.2017.01.118,line_graph,high,Stainless steel pin sliding against PA6 disc; 6 N (0.85 MPa); 0.4 m/s; 25 km; Fig. 7
NEIS2017a,PA6,100,0,0,0,0,,,6,0.7,25000,,steel,PoD,dry,40,24,injection,0.98,9.00e-6,,,122,10.1016/j.wear.2017.01.118,line_graph,high,Stainless steel pin sliding against PA6 disc; 6 N (0.85 MPa); 0.7 m/s; 25 km; Fig. 7
NEIS2017a,PA6,100,0,0,0,0,,,6,1.0,25000,,steel,PoD,dry,40,24,injection,0.87,9.93e-5,,,147,10.1016/j.wear.2017.01.118,line_graph,high,Stainless steel pin sliding against PA6 disc; 6 N (0.85 MPa); 1.0 m/s; 25 km; Fig. 7
NEIS2017a,PA6,100,0,0,0,0,,,8,0.4,25000,,steel,PoD,dry,40,24,injection,0.99,3.75e-6,,,117,10.1016/j.wear.2017.01.118,line_graph,high,Stainless steel pin sliding against PA6 disc; 8 N (1.10 MPa); 0.4 m/s; 25 km; Fig. 7
NEIS2017a,PA6,100,0,0,0,0,,,8,0.7,25000,,steel,PoD,dry,40,24,injection,0.96,5.00e-5,,,147,10.1016/j.wear.2017.01.118,line_graph,high,Stainless steel pin sliding against PA6 disc; 8 N (1.10 MPa); 0.7 m/s; 25 km; Fig. 7
