paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.37,4.20e-7,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6 (35 vol% / ~46 wt% CCF); Parallel (P) orientation; 0.5 MPa (8 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.49,2.08e-6,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6 (35 vol% / ~46 wt% CCF); Parallel (P) orientation; 1.0 MPa (16 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.53,2.31e-6,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6 (35 vol% / ~46 wt% CCF); Parallel (P) orientation; 2.0 MPa (32 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.31,6.60e-7,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6 (35 vol% / ~46 wt% CCF); Anti-Parallel (AP) orientation; 0.5 MPa (8 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.40,2.34e-6,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6 (35 vol% / ~46 wt% CCF); Anti-Parallel (AP) orientation; 1.0 MPa (16 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.43,2.45e-6,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6 (35 vol% / ~46 wt% CCF); Anti-Parallel (AP) orientation; 2.0 MPa (32 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.36,3.26e-6,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6 (35 vol% / ~46 wt% CCF); Normal (N) orientation; 0.5 MPa (8 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.40,5.54e-6,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6 (35 vol% / ~46 wt% CCF); Normal (N) orientation; 1.0 MPa (16 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.45,1.256e-5,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6 (35 vol% / ~46 wt% CCF); Normal (N) orientation; 2.0 MPa (32 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.38,3.45e-6,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6; N-perpendicular layer orientation; 0.5 MPa (8 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.42,5.47e-6,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6; N-perpendicular layer orientation; 1.0 MPa (16 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.45,1.357e-5,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6; N-perpendicular layer orientation; 2.0 MPa (32 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.35,3.07e-6,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6; N-parallel layer orientation; 0.5 MPa (8 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.39,5.95e-6,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6; N-parallel layer orientation; 1.0 MPa (16 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.44,1.156e-5,,,,10.1016/j.compositesb.2021.109332,table,high,3D printed CCF/PA6; N-parallel layer orientation; 2.0 MPa (32 N); 0.5 m/s; 20 h (36000 m); Table 1
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.46,6.40e-7,,,,10.1016/j.compositesb.2021.109332,table,high,Compression molded CCF/PA6 post-processing; Parallel (P) orientation; 0.5 MPa (8 N); 0.5 m/s; 20 h (36000 m); Table 2
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.55,7.80e-7,,,,10.1016/j.compositesb.2021.109332,table,high,Compression molded CCF/PA6 post-processing; Parallel (P) orientation; 1.0 MPa (16 N); 0.5 m/s; 20 h (36000 m); Table 2
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.57,1.83e-6,,,,10.1016/j.compositesb.2021.109332,table,high,Compression molded CCF/PA6 post-processing; Parallel (P) orientation; 2.0 MPa (32 N); 0.5 m/s; 20 h (36000 m); Table 2
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.49,4.40e-7,,,,10.1016/j.compositesb.2021.109332,table,high,Compression molded CCF/PA6 post-processing; Anti-Parallel (AP) orientation; 0.5 MPa (8 N); 0.5 m/s; 20 h (36000 m); Table 2
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.52,1.30e-6,,,,10.1016/j.compositesb.2021.109332,table,high,Compression molded CCF/PA6 post-processing; Anti-Parallel (AP) orientation; 1.0 MPa (16 N); 0.5 m/s; 20 h (36000 m); Table 2
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.51,2.08e-6,,,,10.1016/j.compositesb.2021.109332,table,high,Compression molded CCF/PA6 post-processing; Anti-Parallel (AP) orientation; 2.0 MPa (32 N); 0.5 m/s; 20 h (36000 m); Table 2
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,8,0.5,36000,0.25,steel,PoD,dry,,23,AM,0.34,1.91e-6,,,,10.1016/j.compositesb.2021.109332,table,high,Compression molded CCF/PA6 post-processing; Normal (N) orientation; 0.5 MPa (8 N); 0.5 m/s; 20 h (36000 m); Table 2
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,16,0.5,36000,0.50,steel,PoD,dry,,23,AM,0.38,4.80e-6,,,,10.1016/j.compositesb.2021.109332,table,high,Compression molded CCF/PA6 post-processing; Normal (N) orientation; 1.0 MPa (16 N); 0.5 m/s; 20 h (36000 m); Table 2
MAN2021,PA6,54,0,0,0,0,continuous carbon fibre,46,32,0.5,36000,1.00,steel,PoD,dry,,23,AM,0.37,6.73e-6,,,,10.1016/j.compositesb.2021.109332,table,high,Compression molded CCF/PA6 post-processing; Normal (N) orientation; 2.0 MPa (32 N); 0.5 m/s; 20 h (36000 m); Table 2
