paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
UNAL2012,PA6,100,0,0,0,0,,,50,0.4,4000,,steel,PoD,dry,50,21,injection,0.25,0.0000185,,,,10.1016/j.wear.2012.04.004,line_graph,high,Pure PA-6; pin-on-disc vs AISI 440C stainless steel; 50 N; 0.4 m/s; 4000 m; Figs. 2 and 8
UNAL2012,PA6,100,0,0,0,0,,,50,0.8,4000,,steel,PoD,dry,50,21,injection,0.30,0.0000199,,,,10.1016/j.wear.2012.04.004,line_graph,high,Pure PA-6; pin-on-disc vs AISI 440C stainless steel; 50 N; 0.8 m/s; 4000 m; Figs. 4 and 10
UNAL2012,PA6,100,0,0,0,0,,,50,1.6,4000,,steel,PoD,dry,50,21,injection,0.35,0.0000224,,,,10.1016/j.wear.2012.04.004,line_graph,high,Pure PA-6; pin-on-disc vs AISI 440C stainless steel; 50 N; 1.6 m/s; 4000 m; Figs. 3 and 9
UNAL2012,PA6,100,0,0,0,0,,,75,0.4,4000,,steel,PoD,dry,50,21,injection,0.28,0.0000162,,,,10.1016/j.wear.2012.04.004,line_graph,high,Pure PA-6; pin-on-disc vs AISI 440C stainless steel; 75 N; 0.4 m/s; 4000 m; Figs. 2 and 8
UNAL2012,PA6,100,0,0,0,0,,,75,0.8,4000,,steel,PoD,dry,50,21,injection,0.32,0.0000171,,,,10.1016/j.wear.2012.04.004,line_graph,high,Pure PA-6; pin-on-disc vs AISI 440C stainless steel; 75 N; 0.8 m/s; 4000 m; Figs. 4 and 10
UNAL2012,PA6,100,0,0,0,0,,,75,1.6,4000,,steel,PoD,dry,50,21,injection,0.37,0.0000183,,,,10.1016/j.wear.2012.04.004,line_graph,high,Pure PA-6; pin-on-disc vs AISI 440C stainless steel; 75 N; 1.6 m/s; 4000 m; Figs. 3 and 9
UNAL2012,PA6,100,0,0,0,0,,,100,0.4,4000,,steel,PoD,dry,50,21,injection,0.30,0.0000153,,,,10.1016/j.wear.2012.04.004,line_graph,high,Pure PA-6; pin-on-disc vs AISI 440C stainless steel; 100 N; 0.4 m/s; 4000 m; Figs. 2 and 8
UNAL2012,PA6,100,0,0,0,0,,,100,0.8,4000,,steel,PoD,dry,50,21,injection,0.35,0.0000168,,,,10.1016/j.wear.2012.04.004,line_graph,high,Pure PA-6; pin-on-disc vs AISI 440C stainless steel; 100 N; 0.8 m/s; 4000 m; Figs. 5 and 11
UNAL2012,PA6,100,0,0,0,0,,,100,1.6,4000,,steel,PoD,dry,50,21,injection,0.40,0.0000202,,,,10.1016/j.wear.2012.04.004,line_graph,high,Pure PA-6; pin-on-disc vs AISI 440C stainless steel; 100 N; 1.6 m/s; 4000 m; Figs. 3 and 9
UNAL2012,PA6,95,0,5,0,0,,,50,0.4,4000,,steel,PoD,dry,50,21,injection,0.20,0.0000145,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 5 wt% graphite; pin-on-disc vs AISI 440C steel; 50 N; 0.4 m/s; 4000 m; Figs. 2 and 8
UNAL2012,PA6,95,0,5,0,0,,,50,0.8,4000,,steel,PoD,dry,50,21,injection,0.25,0.0000160,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 5 wt% graphite; pin-on-disc vs AISI 440C steel; 50 N; 0.8 m/s; 4000 m; Figs. 4 and 10
UNAL2012,PA6,95,0,5,0,0,,,50,1.6,4000,,steel,PoD,dry,50,21,injection,0.30,0.0000178,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 5 wt% graphite; pin-on-disc vs AISI 440C steel; 50 N; 1.6 m/s; 4000 m; Figs. 3 and 9
UNAL2012,PA6,95,0,5,0,0,,,75,0.4,4000,,steel,PoD,dry,50,21,injection,0.24,0.0000135,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 5 wt% graphite; pin-on-disc vs AISI 440C steel; 75 N; 0.4 m/s; 4000 m; Figs. 2 and 8
UNAL2012,PA6,95,0,5,0,0,,,75,0.8,4000,,steel,PoD,dry,50,21,injection,0.27,0.0000150,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 5 wt% graphite; pin-on-disc vs AISI 440C steel; 75 N; 0.8 m/s; 4000 m; Figs. 4 and 10
UNAL2012,PA6,95,0,5,0,0,,,75,1.6,4000,,steel,PoD,dry,50,21,injection,0.32,0.0000165,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 5 wt% graphite; pin-on-disc vs AISI 440C steel; 75 N; 1.6 m/s; 4000 m; Figs. 3 and 9
UNAL2012,PA6,95,0,5,0,0,,,100,0.4,4000,,steel,PoD,dry,50,21,injection,0.27,0.0000120,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 5 wt% graphite; pin-on-disc vs AISI 440C steel; 100 N; 0.4 m/s; 4000 m; Figs. 2 and 8
UNAL2012,PA6,95,0,5,0,0,,,100,0.8,4000,,steel,PoD,dry,50,21,injection,0.30,0.0000138,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 5 wt% graphite; pin-on-disc vs AISI 440C steel; 100 N; 0.8 m/s; 4000 m; Figs. 5 and 11
UNAL2012,PA6,95,0,5,0,0,,,100,1.6,4000,,steel,PoD,dry,50,21,injection,0.35,0.0000155,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 5 wt% graphite; pin-on-disc vs AISI 440C steel; 100 N; 1.6 m/s; 4000 m; Figs. 3 and 9
UNAL2012,PA6,85,0,15,0,0,,,50,0.4,4000,,steel,PoD,dry,50,21,injection,0.15,0.0000116,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 15 wt% graphite; pin-on-disc vs AISI 440C steel; 50 N; 0.4 m/s; 4000 m; Figs. 2 and 8
UNAL2012,PA6,85,0,15,0,0,,,50,0.8,4000,,steel,PoD,dry,50,21,injection,0.18,0.0000130,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 15 wt% graphite; pin-on-disc vs AISI 440C steel; 50 N; 0.8 m/s; 4000 m; Figs. 4 and 10
UNAL2012,PA6,85,0,15,0,0,,,50,1.6,4000,,steel,PoD,dry,50,21,injection,0.22,0.0000144,,,,10.1016/j.wear.2012.04.004,line_graph,high,PA-6 + 15 wt% graphite; pin-on-disc vs AISI 440C steel; 50 N; 1.6 m/s; 4000 m; Figs. 3 and 9
