paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
KUMAR2025,PA66,0,0,0,0,100,,,10,0.05,90,,steel,BoP,dry,55,22.5,injection,0.40,0.000028,,,,10.1002/app.57081,bar_chart,high,"Pure PA-6,6; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 10 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,0,100,,,30,0.05,90,,steel,BoP,dry,55,22.5,injection,0.42,0.000031,,,,10.1002/app.57081,bar_chart,high,"Pure PA-6,6; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 30 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,0,100,,,50,0.05,90,,steel,BoP,dry,55,22.5,injection,0.47,0.000039,,,,10.1002/app.57081,bar_chart,high,"Pure PA-6,6; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 50 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,1,99,,,10,0.05,90,,steel,BoP,dry,55,22.5,injection,0.36,0.000024,,,,10.1002/app.57081,bar_chart,high,"PA-6,6/1%MoS2; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 10 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,1,99,,,30,0.05,90,,steel,BoP,dry,55,22.5,injection,0.39,0.000038,,,,10.1002/app.57081,bar_chart,high,"PA-6,6/1%MoS2; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 30 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,1,99,,,50,0.05,90,,steel,BoP,dry,55,22.5,injection,0.43,0.000042,,,,10.1002/app.57081,bar_chart,high,"PA-6,6/1%MoS2; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 50 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,3,97,,,10,0.05,90,,steel,BoP,dry,55,22.5,injection,0.34,0.000011,,,,10.1002/app.57081,bar_chart,high,"PA-6,6/3%MoS2; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 10 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,3,97,,,30,0.05,90,,steel,BoP,dry,55,22.5,injection,0.37,0.000015,,,,10.1002/app.57081,bar_chart,high,"PA-6,6/3%MoS2; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 30 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,3,97,,,50,0.05,90,,steel,BoP,dry,55,22.5,injection,0.40,0.000016,,,,10.1002/app.57081,bar_chart,high,"PA-6,6/3%MoS2; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 50 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,5,95,,,10,0.05,90,,steel,BoP,dry,55,22.5,injection,0.28,0.000010,,,,10.1002/app.57081,bar_chart,high,"PA-6,6/5%MoS2; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 10 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,5,95,,,30,0.05,90,,steel,BoP,dry,55,22.5,injection,0.32,0.000010,,,,10.1002/app.57081,bar_chart,high,"PA-6,6/5%MoS2; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 30 N; test duration 30 min (90 m); Fig. 10 & 11"
KUMAR2025,PA66,0,0,0,5,95,,,50,0.05,90,,steel,BoP,dry,55,22.5,injection,0.34,0.000011,,,,10.1002/app.57081,bar_chart,high,"PA-6,6/5%MoS2; reciprocating BoP vs 100Cr6 steel ball (dia 6 mm); stroke 5 mm; abrading freq 5 Hz (0.05 m/s); load 50 N; test duration 30 min (90 m); Fig. 10 & 11"
