paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
CHERNETS2023,PA6,100,0,0,0,0,,,14.14,0.4,10800,0.80,steel,PoD,dry,50,23,cast,0.72,,,,,10.24874/ti.1526.07.23.09,line_graph,high,Unfilled cast PA6 vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 2 MPa (load 14.14 N per pin); Fig. 6
CHERNETS2023,PA6,100,0,0,0,0,,,28.27,0.4,10800,1.60,steel,PoD,dry,50,23,cast,0.52,,,,,10.24874/ti.1526.07.23.09,line_graph,high,Unfilled cast PA6 vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 4 MPa (load 28.27 N per pin); Fig. 6
CHERNETS2023,PA6,100,0,0,0,0,,,42.41,0.4,10800,2.40,steel,PoD,dry,50,23,cast,0.39,,,,,10.24874/ti.1526.07.23.09,line_graph,high,Unfilled cast PA6 vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 6 MPa (load 42.41 N per pin); Fig. 6
CHERNETS2023,PA6,100,0,0,0,0,,,56.55,0.4,10800,3.20,steel,PoD,dry,50,23,cast,0.34,,,,,10.24874/ti.1526.07.23.09,line_graph,high,Unfilled cast PA6 vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 8 MPa (load 56.55 N per pin); Fig. 6
CHERNETS2023,PA6,100,0,0,0,0,,,84.82,0.4,10800,4.80,steel,PoD,dry,50,23,cast,0.28,,,,,10.24874/ti.1526.07.23.09,line_graph,high,Unfilled cast PA6 vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 12 MPa (load 84.82 N per pin); Fig. 6
CHERNETS2023,PA66,0,0,0,0,100,,,14.14,0.4,10800,0.80,steel,PoD,dry,50,23,cast,0.70,,,,,10.24874/ti.1526.07.23.09,line_graph,high,Unfilled PA66 vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 2 MPa (load 14.14 N per pin); Fig. 6
CHERNETS2023,PA66,0,0,0,0,100,,,28.27,0.4,10800,1.60,steel,PoD,dry,50,23,cast,0.50,,,,,10.24874/ti.1526.07.23.09,line_graph,high,Unfilled PA66 vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 4 MPa (load 28.27 N per pin); Fig. 6
CHERNETS2023,PA66,0,0,0,0,100,,,42.41,0.4,10800,2.40,steel,PoD,dry,50,23,cast,0.36,,,,,10.24874/ti.1526.07.23.09,line_graph,high,Unfilled PA66 vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 6 MPa (load 42.41 N per pin); Fig. 6
CHERNETS2023,PA66,0,0,0,0,100,,,56.55,0.4,10800,3.20,steel,PoD,dry,50,23,cast,0.31,,,,,10.24874/ti.1526.07.23.09,line_graph,high,Unfilled PA66 vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 8 MPa (load 56.55 N per pin); Fig. 6
CHERNETS2023,PA66,0,0,0,0,100,,,84.82,0.4,10800,4.80,steel,PoD,dry,50,23,cast,0.25,,,,,10.24874/ti.1526.07.23.09,line_graph,high,Unfilled PA66 vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 12 MPa (load 84.82 N per pin); Fig. 6
CHERNETS2023,PA6,70,30,0,0,0,,,14.14,0.4,10800,0.80,steel,PoD,dry,50,23,cast,0.88,,,,,10.24874/ti.1526.07.23.09,line_graph,high,PA6 + 30 wt% GF vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 2 MPa (load 14.14 N per pin); Fig. 6
CHERNETS2023,PA6,70,30,0,0,0,,,28.27,0.4,10800,1.60,steel,PoD,dry,50,23,cast,0.68,,,,,10.24874/ti.1526.07.23.09,line_graph,high,PA6 + 30 wt% GF vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 4 MPa (load 28.27 N per pin); Fig. 6
CHERNETS2023,PA6,70,30,0,0,0,,,42.41,0.4,10800,2.40,steel,PoD,dry,50,23,cast,0.53,,,,,10.24874/ti.1526.07.23.09,line_graph,high,PA6 + 30 wt% GF vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 6 MPa (load 42.41 N per pin); Fig. 6
CHERNETS2023,PA6,70,30,0,0,0,,,56.55,0.4,10800,3.20,steel,PoD,dry,50,23,cast,0.48,,,,,10.24874/ti.1526.07.23.09,line_graph,high,PA6 + 30 wt% GF vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 8 MPa (load 56.55 N per pin); Fig. 6
CHERNETS2023,PA6,70,30,0,0,0,,,84.82,0.4,10800,4.80,steel,PoD,dry,50,23,cast,0.41,,,,,10.24874/ti.1526.07.23.09,line_graph,high,PA6 + 30 wt% GF vs normalized C45 steel disc (Ra = 0.8-1.0 um); pressure 12 MPa (load 84.82 N per pin); Fig. 6
