paper_id,material_base,pa6_pct,glass_fiber_pct,graphite_pct,mos2_pct,pa66_pct,other_ingredients,other_ingredients_wt_pct,load_N,speed_ms,distance_m,PV_factor,counterface,test_type,environment,humidity_pct,temperature_C,fabrication,COF,wear_rate_mm3Nm,wear_volume_mm3,mass_loss_mg,contact_temp_C,source_doi,extraction_method,confidence,notes
SPRINGER2015,PA6,100,0,0,0,0,,,50,0.4,4000,,steel,PoD,dry,50,21,injection,,0.00001846,,,,10.1007/s40430-015-0398-1,table,high,PA6; Taguchi L27 run 1; 50 N; 0.4 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,100,0,0,0,0,,,50,0.8,4000,,steel,PoD,dry,50,21,injection,,0.00001991,,,,10.1007/s40430-015-0398-1,table,high,PA6; Taguchi L27 run 2; 50 N; 0.8 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,100,0,0,0,0,,,50,1.6,4000,,steel,PoD,dry,50,21,injection,,0.00002235,,,,10.1007/s40430-015-0398-1,table,high,PA6; Taguchi L27 run 3; 50 N; 1.6 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,100,0,0,0,0,,,75,0.4,4000,,steel,PoD,dry,50,21,injection,,0.00001622,,,,10.1007/s40430-015-0398-1,table,high,PA6; Taguchi L27 run 4; 75 N; 0.4 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,100,0,0,0,0,,,75,0.8,4000,,steel,PoD,dry,50,21,injection,,0.00001710,,,,10.1007/s40430-015-0398-1,table,high,PA6; Taguchi L27 run 5; 75 N; 0.8 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,100,0,0,0,0,,,75,1.6,4000,,steel,PoD,dry,50,21,injection,,0.00001828,,,,10.1007/s40430-015-0398-1,table,high,PA6; Taguchi L27 run 6; 75 N; 1.6 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,100,0,0,0,0,,,100,0.4,4000,,steel,PoD,dry,50,21,injection,,0.00001526,,,,10.1007/s40430-015-0398-1,table,high,PA6; Taguchi L27 run 7; 100 N; 0.4 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,100,0,0,0,0,,,100,0.8,4000,,steel,PoD,dry,50,21,injection,,0.00001676,,,,10.1007/s40430-015-0398-1,table,high,PA6; Taguchi L27 run 8; 100 N; 0.8 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,100,0,0,0,0,,,100,1.6,4000,,steel,PoD,dry,50,21,injection,,0.00002023,,,,10.1007/s40430-015-0398-1,table,high,PA6; Taguchi L27 run 9; 100 N; 1.6 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,85,0,15,0,0,,,50,0.4,4000,,steel,PoD,dry,50,21,injection,,0.00001162,,,,10.1007/s40430-015-0398-1,table,high,PA6 + 15 wt% Gr; Taguchi L27 run 10; 50 N; 0.4 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,85,0,15,0,0,,,50,0.8,4000,,steel,PoD,dry,50,21,injection,,0.00001302,,,,10.1007/s40430-015-0398-1,table,high,PA6 + 15 wt% Gr; Taguchi L27 run 11; 50 N; 0.8 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,85,0,15,0,0,,,50,1.6,4000,,steel,PoD,dry,50,21,injection,,0.00001442,,,,10.1007/s40430-015-0398-1,table,high,PA6 + 15 wt% Gr; Taguchi L27 run 12; 50 N; 1.6 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,85,0,15,0,0,,,75,0.4,4000,,steel,PoD,dry,50,21,injection,,0.00001201,,,,10.1007/s40430-015-0398-1,table,high,PA6 + 15 wt% Gr; Taguchi L27 run 13; 75 N; 0.4 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,85,0,15,0,0,,,75,0.8,4000,,steel,PoD,dry,50,21,injection,,0.00001411,,,,10.1007/s40430-015-0398-1,table,high,PA6 + 15 wt% Gr; Taguchi L27 run 14; 75 N; 0.8 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,85,0,15,0,0,,,75,1.6,4000,,steel,PoD,dry,50,21,injection,,0.00001602,,,,10.1007/s40430-015-0398-1,table,high,PA6 + 15 wt% Gr; Taguchi L27 run 15; 75 N; 1.6 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,85,0,15,0,0,,,100,0.4,4000,,steel,PoD,dry,50,21,injection,,0.00001041,,,,10.1007/s40430-015-0398-1,table,high,PA6 + 15 wt% Gr; Taguchi L27 run 16; 100 N; 0.4 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,85,0,15,0,0,,,100,0.8,4000,,steel,PoD,dry,50,21,injection,,0.00001302,,,,10.1007/s40430-015-0398-1,table,high,PA6 + 15 wt% Gr; Taguchi L27 run 17; 100 N; 0.8 m/s; 4000 m; Table 1; COF not in Taguchi paper
SPRINGER2015,PA6,85,0,15,0,0,,,100,1.6,4000,,steel,PoD,dry,50,21,injection,,0.00001653,,,,10.1007/s40430-015-0398-1,table,high,PA6 + 15 wt% Gr; Taguchi L27 run 18; 100 N; 1.6 m/s; 4000 m; Table 1; COF not in Taguchi paper
